genero,edad,antiguedad,ubicacion,contrato,forma_pago,cargos,sms cantidad,llamada minutos,datos,Whatsapp,Facebook,Instagram,Twitter,TikTok,Uber,Youtube,Netflix,Spotify,Fuerza de ventas,churn
Masculino,15,9,Durango,Prepago,app,478,4,53,43,2.33,10.69,3.85,0.74,8.94,3.19,5.37,2.86,4.12,125.127,No
Femenino,27,12,Colima,Prepago,app,668,5,13,15,1.28,2.44,1.7,0.84,3,1.37,2.64,1.02,0.71,145.05,Sí
Masculino,43,44,Zacatecas,Prepago,tienda,271,4,67,25,1.33,4.22,2.35,2.05,5.39,2.05,3.93,0.79,2.89,79.15,Sí
Femenino,64,32,"Campeche, Coahuila",Prepago,app,112,12,9,28,3.16,5.75,3.24,2.46,4.73,1.78,4.56,0.84,1.47,44.447,No
Femenino,16,29,Baja California,Prepago,tienda,777,1,24,13,1.09,2.03,0.77,0.98,3.1,0.92,1.82,0.52,1.64,168.711,Sí
Masculino,18,56,Sinaloa,Prepago,tienda,284,1,26,1,0.11,0.2,0.12,0.06,0.21,0.06,0.11,0.05,0.06,67.094,Sí
Femenino,45,37,Baja_California_Sur,Prepago,tienda,612,12,3,6,0.69,1.14,0.27,0.51,1.24,0.21,0.77,0.5,0.67,131.7,No
Femenino,35,40,Yucatán,Postpago,tienda,202,5,16,37,5.21,6.22,3.53,2.17,8.66,2.73,4.03,1.84,2.6,69.397,No
Femenino,49,26,Nuevo León,Prepago,tienda,670,9,45,17,1.19,2.77,2.04,0.63,3.21,0.31,3.01,0.17,2.34,149.951,Sí
Femenino,70,30,México,Postpago,tienda,678,6,40,2,0.26,0.29,0.21,0.08,0.42,0.03,0.32,0.18,0.22,143.303,Sí
Masculino,58,66,Veracruz,Postpago,tienda,215,6,53,54,4.5,8.6,4.04,3.91,9.4,3.73,8.61,4.4,6.8,87.947,No
Masculino,41,35,Zacatecas,Postpago,tienda,144,4,35,24,2.41,5.32,1.91,1.86,3.33,1.74,4.19,0.82,2.41,50.197,No
Femenino,28,33,Nayarit,Prepago,tienda,293,0,8,7,0.53,1.48,0.69,0.35,1.46,0.1,0.88,0.11,0.64,67.922,No
Masculino,15,67,Sonora,Prepago,app,676,9,9,23,1.4,4.82,1.53,1.48,5.19,1.18,3.53,1.95,1.91,159.497,Sí
Masculino,46,26,Veracruz,Postpago,app,928,7,65,47,6.08,7.03,2.87,1.48,10.56,2.17,7.51,4.31,4.99,220.95,No
Femenino,46,35,Baja_California_Sur,Postpago,tienda,971,11,56,39,4.15,6.16,4.75,0.39,8.25,1.37,4.02,1.53,4.5,224.486,Sí
Masculino,15,1,Hidalgo,Prepago,tienda,802,4,41,29,2.46,5.75,3.95,0.95,5.13,1.67,3.67,2.72,2.69,179.997,Sí
Masculino,36,35,Veracruz,Prepago,app,435,4,31,11,0.64,2.33,1.44,0.31,1.72,1.1,1.26,0.5,1.6,100.37,Sí
Masculino,18,58,CDMX,Postpago,tienda,395,9,31,25,2.96,4.1,1.06,1.35,5.6,2.61,3.22,1.52,1.89,104.043,Sí
Femenino,39,62,Baja California,Prepago,app,65,14,41,46,3.1,10.71,4.57,3.09,8.49,3.67,6.48,1.04,4.85,51.95,No
Masculino,40,19,Michoacán,Prepago,app,969,11,49,50,4.21,10.2,4.47,1.91,10.41,4.91,5.8,3.05,5.04,229.1,Sí
Femenino,60,23,Oaxaca,Postpago,tienda,311,7,28,7,0.51,1.52,0.47,0.62,1.1,0.4,1.04,0.44,0.9,71.25,No
Masculino,38,57,Guanajuato,Postpago,tienda,672,8,65,14,1.29,2.25,0.65,1.19,2.56,0.98,2.54,0.73,1.81,154.6,No
Femenino,35,3,Nuevo León,Postpago,tienda,378,6,6,7,0.78,1.1,0.28,0.29,1.22,0.38,1.38,0.57,0.67,80.451,No
Masculino,52,6,Hidalgo,Postpago,tienda,598,6,51,36,3.63,6.34,4.07,1.73,7.73,2.34,5.66,1.14,3.37,144.653,No
Femenino,45,14,Guerrero,Prepago,app,94,14,20,35,3.09,6.42,3.05,1.39,6.17,3.23,4.76,0.7,2.86,41.901,No
Femenino,50,42,Zacatecas,Postpago,tienda,829,10,10,13,1.77,2.89,0.62,0.13,2.21,1.2,1.95,1.05,1.18,180.4,Sí
Femenino,19,17,Baja_California_Sur,Prepago,app,595,14,56,15,1.19,2.39,1.65,0.15,3.38,0.75,2.93,0.57,2,133.353,Sí
Femenino,42,14,Tamaulipas,Postpago,app,677,13,65,34,2.52,5.13,3.2,3.32,7.13,0.92,5.78,1.34,2.53,160.511,No
Femenino,50,44,CDMX,Postpago,app,478,13,70,40,3.84,9.35,1.67,1.97,8.19,2.88,4.45,1.09,5.69,129.439,Sí
Masculino,69,44,Sonora,Prepago,app,268,11,57,13,1.82,2.92,1.49,0.12,2.85,0.72,1.25,0.22,1.62,70.853,No
Masculino,26,50,San Luis Potosi,Prepago,tienda,295,4,26,48,2.61,11.78,4.4,0.48,11.21,3.34,5.76,2.54,2.74,95.658,No
Femenino,32,57,Yucatán,Postpago,tienda,978,3,23,39,4.95,7.93,4.3,0.59,6.12,0.79,4.02,2.17,5.56,227.929,Sí
Masculino,22,15,Oaxaca,Postpago,tienda,697,11,65,51,6.06,10.21,3.72,3.33,9.04,4.9,7.55,1.05,3.01,174.861,Sí
Femenino,19,36,Michoacán,Prepago,tienda,249,3,70,7,0.91,1.16,0.32,0.24,1.58,0.35,1.2,0.36,0.89,62.903,No
Masculino,60,39,Nuevo León,Postpago,app,180,11,16,29,3.2,4.72,2.2,0.29,6.98,2.05,4.59,0.92,2.44,59.567,No
Masculino,23,29,Jalisco,Prepago,app,119,7,56,31,1.55,4.95,1.6,0.57,4.77,3.25,3.75,1.12,2.1,47.348,No
Femenino,44,48,Sonora,Postpago,tienda,717,5,44,27,3.43,4.39,2.27,0.71,5.5,0.84,5.06,2.11,2.69,169,Sí
Masculino,26,27,Chiapas,Prepago,tienda,722,6,27,45,4.95,9.39,4.44,2.88,9.79,0.65,7.83,0.9,3.67,176.65,Sí
Femenino,41,39,Zacatecas,Prepago,tienda,260,10,62,0,0,0,0,0,0,0,0,0,0,60.95,Sí
Masculino,50,66,Tamaulipas,Postpago,tienda,109,13,40,32,1.89,5.58,3.23,1.98,5.41,1.95,5.39,2.07,4.2,52.81,Sí
Masculino,48,4,Aguascalientes,Postpago,tienda,771,1,61,25,2.42,6.07,2.63,0.25,4.57,1.58,2.95,0.68,2.03,172.304,No
Masculino,63,67,México,Prepago,app,825,3,26,11,1.36,1.96,0.68,0.48,2.53,0.63,1.22,0.11,1.31,182.734,Sí
Femenino,20,44,Baja_California_Sur,Prepago,app,59,12,30,26,2.81,4.91,2.97,0.95,5.51,2.2,4.16,0.98,1.51,35.5,No
Masculino,53,4,Chiapas,Postpago,app,569,9,66,49,6.64,11.59,3.61,2.38,8.07,4.54,6.12,0.48,5.56,147.097,Sí
Masculino,43,5,Hidalgo,Prepago,tienda,234,12,21,52,4.69,7.91,4.57,3.54,7.94,4.72,7.26,3.52,4.09,78.672,Sí
Masculino,19,21,Yucatán,Postpago,app,730,10,49,18,2.04,3.86,2.34,0.18,4.04,0.33,2.06,1.12,2.02,162.397,Sí
Femenino,65,69,Michoacán,Prepago,tienda,234,7,11,5,0.69,1.07,0.32,0.28,0.82,0.42,0.72,0.32,0.35,60.697,Sí
Femenino,23,42,Baja California,Prepago,app,630,6,64,51,3.48,11.74,6.5,3.31,7.9,5.16,9.51,0.75,2.65,166.1,Sí
Masculino,18,63,México,Postpago,app,926,12,60,13,0.81,2.26,1.51,0.66,2.62,0.36,2.07,1.14,0.71,205.192,No
Masculino,31,12,Veracruz,Prepago,app,265,1,38,21,1.33,4.31,1.14,1.6,3.58,0.9,3.1,1.46,2.57,68.997,No
Femenino,29,33,San Luis Potosi,Postpago,app,277,0,12,30,2.48,6.28,1.49,1.76,6.05,3.17,4.64,1.43,2.31,78.833,Sí
Femenino,47,35,Durango,Prepago,app,396,9,53,8,0.63,1.32,0.51,0.43,1.52,0.51,1.44,0.55,0.9,91.843,No
Femenino,31,22,Veracruz,Prepago,tienda,414,2,10,22,2.7,4.98,2.09,0.22,3.35,0.57,4.1,2.09,1.77,99.761,No
Masculino,49,24,"Campeche, Coahuila",Prepago,app,805,7,35,12,0.89,2.38,1.06,0.84,2.44,0.95,1.75,0.72,0.97,173.55,Sí
Masculino,38,40,Hidalgo,Postpago,tienda,308,11,25,5,0.5,0.95,0.42,0.05,1.03,0.13,0.97,0.33,0.61,71.847,No
Masculino,27,64,Chihuahua,Prepago,tienda,508,9,28,43,5.62,8.8,2.33,2.71,8.89,3.13,5.11,3.11,3.3,138.4,Sí
Masculino,21,36,Puebla,Postpago,app,794,10,23,40,3.23,7.54,3.52,2.42,8.41,3.42,5.74,1.8,3.92,189.35,Sí
Femenino,17,57,Quintana Roo,Postpago,tienda,65,8,61,4,0.3,0.79,0.29,0.25,0.89,0.24,0.5,0.32,0.43,27.003,No
Femenino,28,40,Morelos,Postpago,tienda,509,7,34,23,1.84,4.67,1.86,0.47,4.91,0.78,3.94,1.88,2.65,123.3,No
Femenino,28,66,Guerrero,Postpago,tienda,574,4,45,34,3.2,6.84,1.87,0.34,6.32,0.87,3.62,0.34,2.65,144.965,No
Femenino,63,50,Nuevo León,Prepago,tienda,241,7,22,29,1.86,7.05,1.74,0.66,5.21,0.65,4.59,0.29,4.14,73.357,Sí
Masculino,19,1,Zacatecas,Postpago,tienda,256,3,59,18,1.35,3.99,0.97,1.14,3.99,0.32,2.88,1.38,1.98,65.1,Sí
Femenino,62,22,Veracruz,Postpago,tienda,51,0,40,36,3.96,6.92,4.08,1.22,5.9,2.89,5.22,1.26,4.55,37.1,No
Femenino,45,7,San Luis Potosi,Prepago,tienda,725,5,48,6,0.7,1.27,0.61,0.24,1.15,0.27,0.69,0.42,0.66,152.053,No
Femenino,48,22,Aguascalientes,Prepago,app,442,0,45,49,3.65,8.71,5.74,3.26,10.43,1.86,8.29,0.92,6.14,123.35,No
Femenino,53,48,Oaxaca,Postpago,app,379,12,64,54,4.82,10.21,2.22,3.09,9.54,2.28,9.19,1.03,7.64,117.406,Sí
Femenino,54,47,Tlaxcala,Postpago,tienda,456,9,7,29,1.82,6.92,1.42,1.92,5.8,1.02,5.55,0.5,3.18,115.739,Sí
Femenino,38,26,Chiapas,Prepago,app,867,6,6,40,2.27,8.72,3.99,0.75,9.16,1.73,5.4,2.05,5.06,201.339,No
Femenino,61,10,San Luis Potosi,Prepago,tienda,991,6,58,16,1.33,2.46,1.86,1.41,3.08,0.58,2.55,0.42,2.09,212.134,No
Femenino,27,49,Tamaulipas,Postpago,app,547,11,64,30,2.08,4.96,2.23,2.64,4.68,1.41,3.38,1.99,4.09,137.188,No
Masculino,61,33,Oaxaca,Postpago,app,84,12,69,40,2.47,8.57,4.73,2.95,5.98,3.2,4.21,3.35,4.54,49.2,Sí
Masculino,23,33,Michoacán,Postpago,app,87,14,49,51,7.03,11.93,3.21,1.62,8.5,4.87,8.22,0.48,5.14,55.4,Sí
Femenino,53,20,Morelos,Prepago,app,216,9,25,46,5.71,10.51,5.82,2.62,7.91,0.77,6.87,1.16,4.6,75.041,No
Femenino,40,70,CDMX,Prepago,app,935,10,33,5,0.42,0.91,0.53,0.35,1.08,0.36,0.75,0.27,0.34,202.153,Sí
Femenino,54,39,Jalisco,Postpago,app,303,14,18,29,2.32,5.07,1.97,2.55,6.43,2.96,2.83,1.31,3.57,84.753,Sí
Femenino,52,9,Guerrero,Prepago,app,98,9,48,22,2.07,4.11,1.26,1.41,4.1,1.47,4.28,1.68,1.62,36.55,Sí
Femenino,63,37,"Campeche, Coahuila",Postpago,tienda,854,1,55,22,2.59,2.94,1.23,1.79,4.16,1.12,3.49,1.9,2.78,192.3,No
Masculino,51,62,Oaxaca,Postpago,tienda,380,8,54,45,4.28,6.82,5.23,0.42,9.91,3.58,5.55,3.21,6,115,No
Femenino,18,5,Querétaro,Prepago,app,927,4,37,44,3.25,9.56,2.71,2.19,9.48,2.29,5.6,3.78,5.15,214.403,No
Femenino,60,26,Querétaro,Prepago,tienda,845,12,38,6,0.77,1.03,0.47,0.53,1.1,0.46,0.7,0.14,0.79,178.397,No
Femenino,56,65,México,Postpago,tienda,450,6,49,0,0,0,0,0,0,0,0,0,0,102.2,No
Femenino,46,64,Sonora,Postpago,tienda,79,0,16,54,6.91,12.38,7.2,3.96,10.68,1.95,6.57,1.59,2.75,58.597,No
Masculino,28,20,Durango,Prepago,app,316,8,48,10,1.02,1.77,0.82,0.21,2,0.21,1.68,0.1,0.87,74.204,Sí
Femenino,15,1,Nayarit,Prepago,tienda,997,13,63,39,3.59,8.28,4.06,2.25,7.66,3.24,4.12,3.66,2.14,226.1,No
Femenino,57,7,Aguascalientes,Prepago,tienda,295,13,61,24,1.73,4.11,1.84,1,5.38,2.14,4.09,0.52,3.2,77.503,Sí
Masculino,58,41,Baja California,Prepago,app,907,13,25,44,4.8,7.45,5.03,3.69,9.08,1.26,6.76,0.72,5.2,215.197,No
Masculino,33,58,"Campeche, Coahuila",Prepago,tienda,424,8,33,16,1.01,2.61,0.74,0.49,3.18,1.38,1.79,0.7,1.6,104,Sí
Femenino,36,12,Tamaulipas,Prepago,app,100,3,61,31,3.94,4.91,2.17,1.46,6.84,1.46,4.84,2.76,2.62,43.45,Sí
Femenino,22,69,Morelos,Postpago,app,809,11,17,23,2.7,4.2,2.04,0.67,4.83,0.3,3.58,2.13,1.51,186.488,No
Masculino,31,2,Sinaloa,Prepago,tienda,799,4,61,38,2.67,5.97,3.64,2.84,5.9,3.33,5.95,2.69,5.01,185.95,No
Masculino,37,22,Sonora,Prepago,tienda,682,7,15,11,0.61,1.82,0.48,0.68,2.02,0.98,1.96,0.93,1.51,147.047,No
Masculino,67,22,Michoacán,Prepago,app,782,13,50,18,2.53,3.03,1.18,1.12,3.12,0.41,2.25,1.3,1.14,172.424,Sí
Masculino,51,64,Tlaxcala,Postpago,app,452,5,49,54,3.49,12.87,6.92,2.2,8.72,4.79,5.65,1.6,3.45,133.557,Sí
Femenino,24,7,Baja_California_Sur,Prepago,app,372,14,24,53,3.51,8.92,3.52,4.92,8.83,2.79,6.83,4.38,7.62,107.946,No
Masculino,52,54,Michoacán,Prepago,tienda,184,10,16,36,3.88,5.89,3.1,2.68,7.99,1.59,5.93,2.46,2.47,67.297,Sí
Femenino,25,51,Baja California,Prepago,tienda,459,4,55,31,1.71,5.47,1.68,1.57,4.75,0.78,3.48,1.65,2.97,118.718,Sí
Masculino,21,29,Oaxaca,Prepago,tienda,696,14,32,30,2.03,6.14,1.25,2.85,6.43,2.51,4.16,0.88,3.75,163.15,Sí
Femenino,47,38,Morelos,Prepago,tienda,688,12,5,53,2.65,9.39,5.1,2.06,11.99,2.59,9.75,2.78,6.67,175.344,Sí
Masculino,58,60,Zacatecas,Prepago,tienda,466,3,44,50,3.14,11.37,4.75,3.21,9.24,3.28,7.14,2.37,5.51,134.403,Sí
Masculino,22,9,Nuevo León,Postpago,tienda,930,5,27,49,5.42,7.58,6.61,1.13,7.96,2.42,7.04,1.08,5.23,216.741,No
Femenino,36,70,Tlaxcala,Prepago,app,183,5,49,41,2.75,7.71,2.47,3.59,6.51,0.65,7.2,0.52,5.09,72.797,No
Femenino,23,32,Yucatán,Postpago,app,795,11,16,43,4.89,8.18,2.69,2.27,7.76,0.71,5.12,3.77,3.42,189.143,No
Masculino,30,21,Baja_California_Sur,Prepago,app,437,3,45,44,3.56,6.9,4.18,4.36,6.6,1.91,7.63,0.95,2.69,117.634,No
Masculino,33,39,Zacatecas,Postpago,app,790,3,66,34,2.09,5.69,3.54,1.99,6.87,1.32,6.18,0.34,4.74,187.178,No
Femenino,32,4,Aguascalientes,Prepago,tienda,95,10,58,11,0.87,2.62,1.4,0.74,2.55,0.44,1.09,0.12,1.18,29.103,No
Masculino,67,64,Guerrero,Prepago,app,610,9,9,34,3.23,7.53,3.04,2.44,5.71,0.92,4.7,2.23,4.2,152.45,Sí
Femenino,55,46,Aguascalientes,Postpago,tienda,713,0,35,54,4.04,9.18,4.26,1.47,11.23,3.5,7.15,0.63,4.06,181.106,No
Masculino,19,32,Oaxaca,Prepago,tienda,926,0,68,24,3.34,4.89,2.69,0.8,5.36,0.56,3.79,0.41,2.15,207.797,Sí
Masculino,51,65,CDMX,Postpago,app,606,13,34,10,1.02,1.61,0.71,0.42,2.33,0.69,1.81,0.79,0.63,138.653,Sí
Femenino,43,45,Oaxaca,Prepago,tienda,139,8,23,1,0.07,0.18,0.09,0.04,0.21,0.09,0.15,0.01,0.1,36.282,Sí
Femenino,22,12,Baja_California_Sur,Postpago,tienda,333,8,44,21,2.06,3.96,1.65,0.64,4.35,1.7,3.21,0.21,2.31,82.927,Sí
Masculino,58,8,Morelos,Prepago,app,912,12,15,38,4.04,7.75,3.8,0.6,7.32,4.05,5.73,2.68,2.03,207.15,No
Femenino,51,43,Sonora,Postpago,tienda,647,6,55,7,0.52,1.45,0.87,0.4,1.21,0.52,0.82,0.09,0.57,142.635,No
Femenino,21,55,México,Postpago,app,195,6,58,20,2.51,4.45,2.33,1.31,3.18,2,2.95,0.2,1.08,62.153,No
Femenino,48,53,Nuevo León,Postpago,app,220,2,17,50,3.79,9.88,4.07,3.33,10.52,1.84,9.08,2.26,5.24,82.803,No
Masculino,60,49,Durango,Prepago,tienda,522,12,4,38,2.79,7.28,3.23,3.4,7.19,2,5.45,2.75,3.92,134.753,Sí
Masculino,67,7,Yucatán,Prepago,app,22,13,56,42,3.12,7.37,4.6,0.42,8.77,3.38,6.15,2.06,5.64,33.303,No
Masculino,50,5,Colima,Prepago,tienda,652,0,46,49,3.26,9.2,2.76,2.45,11.08,1.46,8.98,3.47,6.32,162.844,No
Masculino,63,49,Sonora,Prepago,tienda,172,6,53,8,0.96,1.82,0.54,0.32,1.34,0.13,1.31,0.49,0.49,49.02,Sí
Femenino,46,40,Hidalgo,Postpago,tienda,173,13,18,54,6.28,9.27,3.23,4.74,9.08,2.61,6.45,1.27,6.08,72.403,No
Femenino,22,1,Guanajuato,Postpago,app,13,1,46,26,3.48,3.91,3.51,0.81,5.52,0.68,4.05,0.26,3.78,20.65,No
Masculino,25,19,Tabasco,Prepago,app,188,8,14,40,5.36,8.22,2,0.86,7.32,2.95,7.21,1.23,4.84,65.147,No
Masculino,65,67,Querétaro,Postpago,tienda,210,10,65,53,6.81,11.14,5.29,4.59,9.84,1.49,5.67,4.39,3.78,87.1,Sí
Masculino,27,53,Michoacán,Postpago,app,61,1,63,48,5.39,8.41,5.32,3.58,9.92,2.94,6.71,3.48,2.25,52.1,Sí
Femenino,49,60,Veracruz,Postpago,tienda,670,7,59,2,0.22,0.35,0.22,0.08,0.47,0.06,0.25,0.09,0.26,147.15,No
Femenino,26,47,Nuevo León,Postpago,app,797,3,61,47,3.35,9.23,4.87,0.44,7.18,4.49,8.24,3.78,5.41,197.697,No
Femenino,63,13,Sinaloa,Postpago,tienda,487,12,13,38,2.44,8.63,4.29,1.69,6.97,0.41,5.9,1.9,5.02,122.575,Sí
Femenino,67,53,Aguascalientes,Prepago,app,379,7,55,52,6.47,7.67,5.16,0.48,11.85,4.73,8.77,2.56,4.32,117.703,Sí
Femenino,39,10,Chiapas,Prepago,app,922,3,67,16,1.01,2.76,0.88,0.16,3.54,0.2,3.06,0.68,2.17,198.388,Sí
Femenino,17,41,Tamaulipas,Postpago,tienda,147,14,62,36,3.35,5.87,1.76,2.93,8.02,2.76,4.43,2.64,1.8,59.518,Sí
Masculino,64,10,"Campeche, Coahuila",Postpago,tienda,591,9,68,12,0.65,2.26,1.54,0.7,2.26,0.58,1.54,0.99,1.5,130.306,No
Femenino,70,47,Colima,Postpago,tienda,362,7,42,44,5.21,9.15,2.57,2,8.75,3.22,7.22,3.11,2.77,107.95,No
Femenino,64,40,Sinaloa,Postpago,app,941,11,50,37,3.75,7.25,2.63,0.87,6.98,1.08,6.21,0.62,2.29,217.304,No
Femenino,45,8,Chiapas,Postpago,tienda,294,11,12,23,1.36,4.06,1.25,2.08,5.52,1.31,4.08,1.43,1.89,74.394,Sí
Masculino,24,26,San Luis Potosi,Postpago,tienda,636,3,7,13,0.71,2.72,1.34,1.26,2.13,0.44,2.27,0.27,1.87,139.253,No
Masculino,30,71,Tlaxcala,Prepago,app,810,12,48,52,6.24,9.84,4.94,3.06,11.29,0.97,5.29,2.69,2.68,204.75,No
Femenino,51,23,Colima,Postpago,tienda,402,12,35,17,1.55,3.01,1.71,0.47,2.98,0.75,2.35,0.96,2.52,95.59,No
Masculino,36,69,San Luis Potosi,Postpago,app,359,0,29,18,0.99,3.66,2.23,0.67,2.96,0.24,3.15,1.65,2.16,94.313,No
Masculino,70,45,Guerrero,Prepago,tienda,146,8,8,1,0.06,0.23,0.11,0.07,0.19,0.03,0.12,0.08,0.13,36.956,No
Femenino,63,43,Michoacán,Prepago,app,468,1,38,51,5.87,10.77,3.14,2.35,9.88,0.86,7.18,0.51,3.62,130.504,No
Masculino,70,62,México,Postpago,app,360,9,70,51,2.99,12.44,2.14,3.27,10.82,3.56,6.43,0.51,7.42,114.974,No
Masculino,46,17,Hidalgo,Prepago,tienda,65,1,3,49,4.14,10.44,3.81,1.75,9.82,1.8,7.96,2.68,6.59,45.097,Sí
Femenino,65,59,Tlaxcala,Prepago,app,687,13,47,53,2.97,11.63,3.61,1.11,9.2,3.55,5.73,3.38,6.92,178.93,No
Femenino,68,12,Chiapas,Prepago,app,956,12,10,5,0.36,1.04,0.53,0.14,0.93,0.37,0.7,0.32,0.62,196.503,No
Femenino,28,62,Tlaxcala,Postpago,tienda,764,7,38,43,5.19,8.72,2.34,3.8,7.4,4.36,6.97,0.41,3.83,189.806,Sí
Masculino,50,31,Baja California,Prepago,tienda,900,13,24,5,0.26,1.1,0.35,0.17,1.1,0.39,0.59,0.4,0.46,188.796,No
Masculino,46,62,Colima,Postpago,tienda,922,4,46,48,4.47,8.28,3.07,0.48,10.52,3.43,8.39,4.5,4.86,224.8,Sí
Masculino,70,19,San Luis Potosi,Postpago,app,571,6,17,29,3.09,5.94,1.29,1.54,5.27,2.75,5.05,1.9,2.18,135.303,No
Masculino,32,48,Hidalgo,Postpago,tienda,53,14,62,2,0.25,0.4,0.15,0.12,0.4,0.15,0.34,0.07,0.11,22.097,Sí
Femenino,42,2,Yucatán,Postpago,tienda,311,8,23,19,2.09,3.49,1.9,0.88,3.99,0.93,2.5,0.36,1.82,74.738,Sí
Masculino,15,21,Chiapas,Prepago,tienda,448,10,17,36,3.58,6.55,2.81,0.35,8.63,2.46,6.4,0.68,4.55,115.203,No
Femenino,51,43,México,Postpago,app,545,2,31,1,0.09,0.23,0.1,0.04,0.16,0.07,0.1,0.07,0.14,117.6,Sí
Masculino,60,60,Aguascalientes,Postpago,app,869,3,4,48,2.47,7.12,4.23,3.91,10.13,3.51,7.63,3.2,5.8,211.8,No
Masculino,62,54,Morelos,Prepago,tienda,460,14,10,1,0.07,0.23,0.04,0.09,0.18,0.09,0.13,0.03,0.14,101.2,No
Masculino,42,61,CDMX,Prepago,app,138,6,7,3,0.36,0.6,0.24,0.03,0.57,0.28,0.48,0.11,0.34,38.903,No
Masculino,47,19,Michoacán,Prepago,tienda,732,14,51,36,2.73,7.11,4.2,2.24,7.73,1.71,4.51,3.15,2.61,173.397,Sí
Femenino,63,14,Chiapas,Postpago,tienda,786,2,38,42,4.71,7.75,3.2,1.32,8.04,2.36,4.89,0.44,5.42,185.239,Sí
Masculino,20,37,Chihuahua,Postpago,app,920,2,48,21,1.58,4.02,1.68,0.21,4.39,1.59,3.4,1.82,2.32,204.553,No
Masculino,28,61,México,Prepago,tienda,878,5,14,5,0.38,0.98,0.23,0.08,1.18,0.26,0.59,0.28,0.32,188.24,Sí
Femenino,57,20,Jalisco,Prepago,app,175,14,45,35,3.59,6.32,3.09,2.48,5.91,2.6,5.58,2.94,2.49,61.25,No
Femenino,16,69,Tabasco,Prepago,tienda,620,14,28,36,3.48,8.25,2.21,1.61,6.24,0.63,5.15,0.36,4.98,156.423,No
Masculino,35,22,Tlaxcala,Prepago,tienda,636,9,35,36,2.21,5.71,3.74,2.42,7.59,2.29,4.98,0.46,4.18,153.124,Sí
Femenino,51,48,Tabasco,Prepago,app,93,7,18,20,1.09,3.91,1.55,0.39,4.38,0.49,3.46,0.45,2.47,38.157,No
Masculino,26,65,CDMX,Prepago,tienda,714,8,9,7,0.87,1.19,0.68,0.49,1.55,0.72,0.69,0.07,0.76,157.206,Sí
Femenino,38,22,Zacatecas,Postpago,app,33,4,17,19,2.31,4.34,1.22,0.45,3.17,1.54,2.92,0.19,1.75,21.817,No
Masculino,42,6,Sonora,Postpago,tienda,821,10,4,4,0.59,0.86,0.31,0.38,0.74,0.13,0.42,0.1,0.36,167.667,Sí
Masculino,53,42,Chiapas,Postpago,app,20,14,56,39,4.75,6.5,3.27,2.69,8.07,2.14,6.97,2.55,2.07,36.503,No
Masculino,36,59,Puebla,Prepago,tienda,808,14,18,1,0.06,0.22,0.13,0.07,0.21,0.03,0.13,0.02,0.12,171.947,Sí
Femenino,16,47,Morelos,Postpago,tienda,817,14,27,26,2.96,3.97,1.14,2.01,4.97,1.36,4.32,1.94,3.33,187.4,No
Femenino,65,45,Veracruz,Prepago,tienda,738,1,59,11,1.42,1.75,0.99,0.39,2.24,0.56,1.73,0.78,1.15,163.903,No
Femenino,41,18,Colima,Prepago,app,489,14,20,29,3.63,5.62,2.83,0.89,5.53,1.9,3.99,1.43,3.19,118.903,No
Masculino,28,10,Aguascalientes,Postpago,tienda,717,2,12,31,2.88,5,4.1,0.31,4.81,0.83,5.79,0.69,3.31,163.116,Sí
Femenino,37,12,Chiapas,Postpago,app,155,6,33,54,3.43,8.34,7.49,2.81,8.78,1.14,6.93,1.3,5.06,64.234,No
Femenino,29,61,Tamaulipas,Prepago,app,511,6,13,13,1.64,2.06,0.56,0.81,2.43,1.05,1.49,1.17,1.21,119.626,Sí
Masculino,44,40,Colima,Postpago,tienda,545,12,49,48,5.8,10.41,2.26,0.48,10.24,3.72,8.21,0.48,4.67,145.731,No
Masculino,45,50,Sonora,Prepago,tienda,206,11,20,27,3.64,5.74,3.19,0.25,5.59,2.03,4.36,0.62,1.58,65.9,No
Masculino,40,39,Veracruz,Postpago,tienda,494,12,7,52,4.96,7.84,5.56,3,9.41,2.34,8.45,4.27,6.17,136.2,No
Masculino,26,8,Querétaro,Prepago,app,229,8,64,49,3.79,11.42,4.77,1.51,10.15,0.77,9.64,0.49,3.08,78.586,No
Femenino,41,69,Tabasco,Prepago,app,39,4,46,5,0.29,0.8,0.52,0.5,0.78,0.54,0.56,0.08,0.73,23.39,No
Masculino,60,36,Hidalgo,Postpago,app,991,1,60,0,0,0,0,0,0,0,0,0,0,206.6,No
Femenino,25,42,Quintana Roo,Prepago,tienda,324,5,61,41,5.57,6.87,4.17,3.85,7.79,0.61,7.03,2.26,2.86,98.753,Sí
Masculino,58,40,Oaxaca,Postpago,tienda,96,13,27,25,3.08,4.64,1.68,1.86,5.41,0.26,3.63,1.55,2.9,41.553,Sí
Masculino,68,54,México,Postpago,tienda,853,12,25,30,3.66,4.75,3.1,2.42,5.15,1.36,4.16,1.36,2.92,197.614,No
Femenino,29,15,Guerrero,Prepago,tienda,871,1,70,32,3.8,6.19,3.81,0.53,5.17,0.45,5.54,0.32,3.36,198.301,No
Femenino,65,58,Guerrero,Prepago,tienda,42,5,30,32,3.4,5.57,4.17,0.81,5.68,0.63,4.23,2.91,4.58,37.794,No
Femenino,70,41,Yucatán,Prepago,tienda,378,11,59,8,0.47,1.8,0.33,0.37,1.24,0.85,1.1,0.08,0.52,89.128,Sí
