genero,edad,antiguedad,ubicacion,contrato,forma_pago,cargos,sms cantidad,llamada minutos,datos,Whatsapp,Facebook,Instagram,Twitter,TikTok,Uber,Youtube,Netflix,Spotify,churn,Fuerza de ventas,churn2
Femenino,29,66,Chiapas,Prepago,tienda,923,7,12,2,2.42,6.45,3.94,3.36,6.28,2.09,5.44,2.6,5.42,No,207.1,No
Femenino,35,31,Veracruz,Prepago,tienda,151,5,67,42,0.52,1.9,0.64,0.68,1.91,0.14,0.99,0.66,0.57,Sí,53.203,Sí
Masculino,58,61,Durango,Prepago,app,86,12,29,52,2.09,2.78,2.08,0.56,4.17,0.2,2.94,1.63,2.55,Sí,49.1,Sí
Femenino,25,68,Yucatán,Postpago,app,508,9,58,28,2.49,8.7,4.5,1.87,8.56,3.58,4.04,3.38,1.87,Sí,134.797,Sí
Femenino,19,49,Morelos,Prepago,tienda,245,1,68,11,4.81,8.47,3.43,2.1,6.95,2.29,6.41,0.97,4.95,No,75.164,No
Masculino,33,71,Puebla,Postpago,app,575,11,61,18,0.96,2.38,1.17,0.19,1.61,0.72,1.67,0.67,0.54,No,137.073,No
Masculino,42,69,Hidalgo,Postpago,app,336,7,41,52,2.01,3.75,1.35,0.92,4.64,1.22,3.42,0.27,2.33,Sí,101.173,Sí
Femenino,23,42,Baja California Sur,Postpago,app,354,1,13,31,1.13,3.98,2.73,1.31,4.12,0.42,4.2,0.22,2.06,Sí,93.101,Sí
Masculino,42,30,Aguascalientes,Postpago,app,881,1,70,52,2.41,9.69,2.35,1.91,7.99,4.15,4.72,4.42,6.82,Sí,213.138,Sí
Masculino,36,17,Michoacán,Prepago,tienda,82,4,36,50,1.57,4.83,0.97,0.69,3.52,2.36,2.73,0.41,3.41,Sí,41.897,Sí
Femenino,32,19,Chihuahua,Postpago,app,627,11,63,17,3.27,8.66,3.45,2.11,8.1,1.22,4.41,2.96,3.92,Sí,147.93,Sí
Femenino,26,31,Durango,Prepago,tienda,606,14,24,34,1.55,4.08,1.69,1.43,3.15,1.65,1.92,0.82,1.7,No,142.647,No
Femenino,53,42,Tlaxcala,Postpago,app,793,14,36,18,1.03,1.6,0.82,0.61,1.66,0.09,0.87,0.67,0.65,No,174.5,No
Masculino,68,23,Baja California Sur,Postpago,app,243,0,30,47,0.82,1.76,0.41,0.12,1.65,0.24,1.37,0.49,1.15,Sí,70.053,Sí
Femenino,28,56,Chiapas,Prepago,tienda,291,0,50,47,2.92,7.83,1.93,2.28,7.88,2.76,6.26,0.35,4.8,Sí,94.303,Sí
Femenino,52,20,Oaxaca,Prepago,app,855,12,7,20,0.67,1.74,1.01,0.74,1.47,0.16,1.59,0.66,0.97,Sí,183.053,Sí
Femenino,61,61,Guanajuato,Postpago,app,531,12,39,12,2.35,3.93,0.84,1.91,4.55,0.77,2.79,0.78,2.07,No,126.897,No
Femenino,37,35,Querétaro,Postpago,tienda,81,4,29,37,0.68,2.83,1.67,0.77,3.02,0.59,2.39,0.87,1.17,Sí,38.197,Sí
Femenino,38,14,Zacatecas,Prepago,app,113,2,15,52,1.01,2.56,1.12,1.17,2.75,0.22,2.13,0.31,1.45,Sí,44.866,Sí
Masculino,34,45,Nayarit,Prepago,app,124,3,13,7,0.47,1.04,0.2,0.05,0.89,0.54,0.65,0.05,0.69,Sí,35.674,Sí
Femenino,38,2,Tlaxcala,Postpago,app,589,0,29,12,3.11,4.41,1.44,0.5,4.17,0.51,3.81,0.66,1.48,No,129.177,No
Masculino,34,36,Hidalgo,Postpago,tienda,654,0,33,10,2.87,7.78,3.74,1.95,7.07,3.13,4.54,2.54,3.39,No,151.953,No
Femenino,24,26,Zacatecas,Prepago,tienda,508,14,36,28,2.11,3.6,1.26,0.93,3.77,1.4,2.3,0.17,2.46,No,121.1,No
Femenino,67,33,Guerrero,Postpago,app,954,13,18,41,2.23,4.1,2.78,0.21,4.53,0.71,3.1,2.05,1.29,Sí,215.25,Sí
Femenino,16,22,Zacatecas,Prepago,tienda,524,6,55,16,2.96,6.53,2.55,2.05,6.22,2.45,4,0.29,1.84,Sí,124.317,Sí
Femenino,40,7,Hidalgo,Postpago,app,924,4,62,43,3.94,7.08,4.05,3.05,5.74,2.57,4.5,1.94,4.14,Sí,212.953,Sí
Masculino,32,70,Veracruz,Postpago,tienda,401,12,47,43,2.48,9.4,2.36,3.14,8.93,0.57,8.52,2.77,3.5,No,118.451,No
Femenino,46,30,Guerrero,Postpago,app,382,10,25,25,3.3,6.47,2.47,2.72,6.38,2.61,4.05,3.08,3.92,No,100.15,No
Masculino,34,59,Zacatecas,Prepago,tienda,937,14,47,3,3.01,7.03,4,1.16,7.9,3.85,5.45,0.42,4.17,No,210.597,No
Femenino,26,10,Tabasco,Postpago,app,89,8,28,29,5.44,9.73,2.81,1.63,9.03,3.86,8,2.51,4.99,Sí,43.8,Sí
Femenino,17,71,Tamaulipas,Postpago,tienda,231,6,11,28,4.51,7.25,2.57,1.98,7.77,3.14,6.23,3.57,4,Sí,78.106,Sí
Masculino,59,56,Oaxaca,Prepago,app,950,3,62,4,6.21,8.34,4.01,1,8.1,1.73,6.6,1.46,6.1,No,215.765,No
Masculino,22,28,Puebla,Prepago,app,719,9,37,21,5.67,7.45,2.9,3.35,7.07,1.88,7.2,1.08,4.42,Sí,168.456,Sí
Masculino,51,22,Quintana Roo,Prepago,tienda,24,2,14,34,0.44,1.15,0.57,0.34,0.84,0.13,0.58,0.29,0.64,Sí,20.494,Sí
Femenino,35,49,Morelos,Prepago,app,512,6,67,46,0.27,0.36,0.23,0.13,0.4,0.1,0.21,0.06,0.25,No,127.503,No
Femenino,24,62,Baja California Sur,Postpago,app,79,12,23,1,1.52,5.78,3.18,0.57,5.6,0.32,2.51,2.08,2.95,No,33.903,No
Masculino,46,12,Yucatán,Prepago,tienda,869,11,53,11,2.3,3.77,1.12,1.96,3.5,0.92,2.18,1.35,2.67,No,187.481,No
Femenino,67,20,México,Postpago,tienda,528,9,54,2,0.65,2.25,1.26,0.73,2.42,1.08,1.27,0.65,0.7,No,115.203,No
Femenino,59,57,Durango,Prepago,tienda,623,7,69,3,1.32,1.67,0.65,0.5,1.9,0.66,1.25,0.3,0.74,Sí,140.197,Sí
Masculino,57,62,Querétaro,Postpago,app,91,9,58,51,2.72,3.91,2.12,0.25,4.62,1.14,3.06,2.41,3.1,No,52.699,No
Femenino,51,28,Quintana Roo,Postpago,app,177,8,23,29,3.58,7.06,4.41,2.5,6.2,3.22,4.8,0.32,1.91,Sí,59.65,Sí
Masculino,40,49,Durango,Prepago,tienda,177,13,13,1,0.13,0.19,0.06,0.08,0.15,0.07,0.13,0.04,0.14,No,43.997,No
Femenino,62,68,Durango,Postpago,app,929,1,8,54,1.21,2.82,0.7,0.12,2.47,0.26,2.18,0.7,1.46,Sí,216.176,Sí
Femenino,47,8,Baja California Sur,Prepago,tienda,989,14,11,50,1.56,2.36,0.89,0.77,2.42,1.14,1.79,0.12,0.96,No,218.153,No
Femenino,61,65,Baja California Sur,Prepago,tienda,953,1,43,18,3.34,5.5,1.7,1.87,5.12,1.72,3.24,1.43,2.06,No,215.694,No
Femenino,64,25,Guanajuato,Postpago,app,582,9,4,49,3.65,9.58,3.94,0.95,10.43,0.95,6.88,2.12,6.49,Sí,148.547,Sí
Femenino,39,60,Hidalgo,Prepago,tienda,772,6,30,44,0.75,1.21,0.41,0.32,1.32,0.47,0.78,0.07,0.97,Sí,179.99,Sí
Masculino,52,2,Querétaro,Prepago,tienda,20,9,24,27,1.88,3.96,1.06,1.22,3.01,1,2.83,0.89,2.17,Sí,19.006,Sí
Femenino,57,66,Tlaxcala,Prepago,tienda,230,14,24,11,1.72,4.39,1.87,1.44,4.03,0.84,2.55,0.18,0.98,No,65.8,No
Masculino,15,4,Oaxaca,Postpago,tienda,991,10,35,38,4.37,8.77,4.19,3.9,9.94,2.46,8.12,2.31,3.94,Sí,226.35,Sí
Masculino,40,12,Tamaulipas,Postpago,app,241,11,24,40,3.21,5.19,1.36,0.26,6.27,2.33,2.66,1.17,3.28,No,70.919,No
Femenino,35,32,San Luis Potosi,Postpago,app,107,7,22,20,2.78,5.28,4.05,1.76,6.6,2.2,4.31,1.78,2.24,Sí,42.6,Sí
Femenino,47,7,Aguascalientes,Postpago,app,933,7,4,16,2.33,5.47,2.49,1.13,3.46,2.01,4.39,0.36,2.37,Sí,199.853,Sí
Masculino,70,16,Baja California,Prepago,app,83,13,57,35,7.1,10.75,5.03,4.27,7.9,3.96,7.8,4.04,3.14,Sí,48.547,Sí
Masculino,38,42,Michoacán,Postpago,app,363,1,46,37,3.95,4.89,1.89,1.53,4.75,3.02,4.66,1.52,1.47,No,100.604,No
Masculino,50,59,Chihuahua,Prepago,app,951,7,27,12,1.63,2.92,2.54,0.19,3.22,1.85,3.57,1.23,2.85,Sí,210,Sí
Femenino,43,53,Baja California Sur,Postpago,app,733,9,32,44,2.48,4.82,2.86,0.24,4.35,0.93,2.21,0.44,2.66,No,175.647,No
Masculino,36,31,Sinaloa,Prepago,tienda,840,14,68,53,0.95,1.37,0.76,0.19,1.28,0.52,1.08,0.09,0.43,Sí,193.951,Sí
Masculino,22,4,Quintana Roo,Prepago,app,33,6,19,50,1.57,4.51,1.58,2.16,5.98,1.79,5.36,1.43,2.76,Sí,31.292,Sí
Masculino,41,17,Oaxaca,Prepago,app,899,2,33,21,2.24,5.59,3.81,2.52,6.8,1.7,6.26,1.6,3.48,No,200.5,No
Masculino,70,51,Aguascalientes,Postpago,app,802,14,62,53,1.85,5.99,2,1.1,5.67,0.71,4.03,2.06,2.59,No,194.85,No
Masculino,35,13,Tabasco,Prepago,app,239,1,21,12,3.54,6.59,1.43,2.34,4.68,0.66,4.88,2.38,2.52,Sí,63.106,Sí
Masculino,57,40,CDMX,Postpago,tienda,408,8,11,39,2.22,6.81,3.74,2.33,8.26,3.67,5.37,1.66,1.95,No,110.653,No
Masculino,61,58,Querétaro,Postpago,tienda,628,11,57,41,2.69,7.94,5.24,2.15,7.05,0.92,5.17,1.64,6.01,No,161.093,No
Masculino,60,65,Hidalgo,Postpago,tienda,279,7,32,39,1.96,6.29,4.5,0.39,8.21,1.44,5.33,1.74,3.12,Sí,88.744,Sí
Femenino,16,12,San Luis Potosi,Prepago,tienda,206,0,34,32,2.28,5.46,1.97,2,4.6,2.87,4.83,0.7,4.3,Sí,63.003,Sí
Masculino,43,48,Morelos,Prepago,app,669,0,40,32,2.72,5.49,2.33,0.26,4.8,1.72,4.37,0.26,2.53,No,159.944,No
Femenino,21,69,México,Prepago,app,77,4,7,52,4.71,7.38,3.57,3.17,8.15,0.55,8.3,3.4,4.86,No,54.927,No
Masculino,27,15,Nayarit,Postpago,tienda,565,5,23,49,2.67,6.72,1.71,0.92,5.7,1.79,3.82,1.8,2.87,No,139.5,No
Femenino,35,62,San Luis Potosi,Prepago,app,442,2,9,48,2.6,4.08,2.49,0.48,4.93,2.54,4.96,2.27,2.66,Sí,120.653,Sí
Femenino,18,67,Baja California Sur,Prepago,app,212,11,24,5,2.27,5.95,3.94,0.97,5.74,0.94,3.83,2.32,3.75,Sí,64.063,Sí
Femenino,62,51,México,Postpago,tienda,138,14,12,18,3.62,6.59,2.69,0.3,5.42,1.08,4.1,0.55,3.33,Sí,49.554,Sí
Femenino,36,18,Nayarit,Postpago,tienda,971,5,57,24,3.13,7.54,2.46,3.85,9.4,4.22,6.26,0.89,4.27,No,219.556,No
Femenino,69,41,Durango,Prepago,tienda,668,4,18,15,2.98,10.63,2.65,3.04,11.89,2.85,5.23,0.5,6.78,Sí,159.115,Sí
Masculino,33,29,Jalisco,Prepago,app,528,13,18,43,2.16,4.08,1.18,0.74,5.46,1.8,3.22,0.88,3.32,Sí,130.602,Sí
Femenino,21,22,Guanajuato,Prepago,app,658,13,9,23,2.62,12.32,2.51,0.52,9.4,1.64,6.73,4.21,5.02,No,155.741,No
Femenino,27,14,Tlaxcala,Postpago,tienda,936,10,22,28,5.79,6.63,2.85,2.79,9.51,1.52,4.3,0.41,5.31,No,210.533,No
Masculino,46,29,Oaxaca,Postpago,tienda,938,8,66,0,1.92,7.09,3.74,0.74,5.01,2.27,4.11,0.32,2.9,Sí,203.68,Sí
Femenino,29,12,Zacatecas,Postpago,app,669,4,65,13,4.56,11.07,4.94,4.5,10.49,3.96,6.08,0.46,4.93,Sí,158.047,Sí
Femenino,46,27,Baja California Sur,Prepago,tienda,860,6,7,42,2.94,4.47,1.56,2.14,3.45,1.93,2.3,0.78,2.21,Sí,195.534,Sí
Femenino,55,49,Colima,Postpago,tienda,652,2,61,4,0.11,0.17,0.11,0.01,0.17,0.08,0.18,0.04,0.14,Sí,142.303,Sí
Femenino,63,22,Jalisco,Postpago,app,768,2,28,14,0.29,0.7,0.16,0.03,0.62,0.24,0.35,0.22,0.15,No,163.328,No
Masculino,61,38,Hidalgo,Postpago,app,139,7,19,1,1.18,2.9,2.01,1.3,3.34,2.01,2.69,1.43,2.12,No,40.444,No
Femenino,43,17,Guerrero,Prepago,app,424,12,19,1,4.3,10.17,3.27,2.33,6.84,3.25,6.47,1.1,2.31,No,100.612,No
Femenino,26,5,Baja California Sur,Postpago,app,634,1,46,31,0.16,0.32,0.23,0.12,0.37,0.14,0.32,0.16,0.18,No,139.75,No
Femenino,68,55,Zacatecas,Prepago,tienda,502,9,22,18,3.82,9.67,3.58,4.33,8.03,4.86,7.29,3.85,2.61,Sí,129.562,Sí
Femenino,32,5,Guanajuato,Prepago,tienda,180,14,18,45,2.08,5.46,2.02,1.81,5.12,2.22,2.91,1.6,1.8,Sí,58.656,Sí
Masculino,60,48,San Luis Potosi,Prepago,tienda,72,14,4,34,1.55,3.81,1.42,0.4,3.81,1.35,2.96,0.17,1.54,No,37.103,No
Femenino,20,16,CDMX,Postpago,app,263,8,50,33,2.9,4.86,1.6,1.99,6.45,2.25,4.7,0.36,2.89,Sí,75.8,Sí
Femenino,37,61,CDMX,Postpago,app,941,5,32,48,2.16,3.74,1.76,0.18,3.77,0.2,3.03,0.38,2.3,Sí,218.606,Sí
Masculino,24,5,Michoacán,Prepago,app,100,0,69,19,4.43,9.35,2.69,2.55,6.37,2.49,6.61,0.67,5.85,No,42.203,No
Femenino,45,30,Chiapas,Prepago,tienda,868,9,54,22,1.55,2.46,1.38,0.66,2.91,0.84,2.33,0.82,1.03,No,191.594,No
Femenino,69,27,Sonora,Prepago,tienda,285,5,26,23,2.35,9.79,3.59,3.61,7.36,2.12,5.54,4.22,2.23,Sí,81.493,Sí
Femenino,37,6,Tlaxcala,Prepago,app,68,9,68,8,2.54,12.28,4.95,2.91,9.97,5.09,9.32,4.22,2.71,No,36.497,No
Femenino,27,59,Oaxaca,Prepago,tienda,525,7,8,35,7.35,13.08,2.67,4.47,10.28,2.17,9.74,1.17,3.07,Sí,140.95,Sí
Femenino,38,58,Yucatán,Prepago,app,783,5,40,10,2.71,6.53,2.14,0.32,7.48,1.23,5.82,2.94,2.83,Sí,179.9,Sí
Femenino,48,50,Puebla,Postpago,tienda,650,3,36,30,1.36,3.94,3.28,1.88,5.88,2.66,3.57,0.79,1.65,Sí,155.803,Sí
Femenino,17,58,Sonora,Prepago,app,191,2,55,35,0,0,0,0,0,0,0,0,0,Sí,60.15,Sí
Masculino,31,15,Sinaloa,Postpago,app,631,9,44,23,4.65,8.28,6.34,2.86,8.09,1.31,5.84,4.41,5.88,No,151.848,No
Femenino,35,66,Veracruz,Postpago,app,281,0,27,46,4.1,4.69,2.2,2.22,7.54,3.24,5.55,0.78,3.69,No,91.453,No
Masculino,46,16,Oaxaca,Prepago,app,916,3,52,34,4.44,5.06,2.84,0.31,6.67,2.57,5.2,0.41,3.49,No,207.697,No
Femenino,57,9,Colima,Postpago,app,56,6,63,46,3.37,6.03,3.77,0.58,7.26,2.77,5.48,0.31,4.43,No,39.7,No
Femenino,37,31,Tamaulipas,Postpago,app,220,12,47,30,1.22,2.88,1.07,0.17,4.03,0.17,3.17,0.25,1.12,Sí,64.224,Sí
Femenino,20,34,Nayarit,Postpago,app,289,1,66,41,2.6,9.29,2.16,0.89,9.29,0.42,6.16,1.14,2.33,No,88.784,No
Femenino,64,46,Aguascalientes,Postpago,app,313,13,13,1,3.81,5.39,1.58,0.41,6.39,1.7,3.67,0.64,2.98,No,78.421,No
Masculino,69,16,San Luis Potosi,Prepago,app,892,13,38,7,0.5,1.2,0.21,0.2,0.94,0.44,0.61,0.23,0.3,Sí,186.189,Sí
Femenino,36,65,México,Postpago,app,81,0,54,45,1.3,3.02,1.59,0.33,4.05,0.39,2.31,1.47,1.39,Sí,46.905,Sí
Femenino,55,25,Guanajuato,Postpago,tienda,583,8,28,3,3.67,9.14,1.82,0.71,10.82,1.36,5.78,3.93,4.82,No,135.265,No
Masculino,39,27,Colima,Postpago,app,211,5,6,30,3.32,6.87,6.18,2.37,10.74,1.07,6.12,3.25,5.09,Sí,69.053,Sí
Femenino,38,42,Michoacán,Prepago,tienda,266,11,35,12,2.9,3.15,2.04,1.26,3.71,0.28,2.87,1.17,2.48,No,70.808,No
Masculino,44,34,San Luis Potosi,Prepago,app,16,5,44,49,1.43,4.01,1.72,0.45,4.23,0.62,3.47,1.21,3.44,No,31.374,No
Masculino,28,13,Oaxaca,Prepago,tienda,594,10,26,26,5.08,8.94,4.7,4.36,9.53,2.96,6.58,0.63,5.23,Sí,144.253,Sí
Masculino,37,70,Chiapas,Postpago,app,40,3,20,25,3.58,7.29,2.62,0.81,10.28,2.69,7.58,3.41,2.97,No,39.369,No
Femenino,63,60,Puebla,Postpago,tienda,350,11,13,42,1.52,4.01,1.59,1.29,2.91,0.24,2.6,0.38,1.14,No,96.954,No
Masculino,31,71,Chiapas,Prepago,app,250,5,69,35,2.92,8.84,2.91,0.38,7.58,1.63,4.8,1.81,4.13,Sí,85.1,Sí
Femenino,22,34,Guerrero,Postpago,tienda,743,5,8,10,0,0,0,0,0,0,0,0,0,Sí,157.1,Sí
Femenino,28,47,Hidalgo,Prepago,app,313,12,6,54,3.46,5.35,3.92,2.56,6.18,2.39,3.79,0.35,3.17,No,95.501,No
Femenino,31,56,Chihuahua,Postpago,app,123,7,24,30,0.38,0.61,0.21,0.21,0.72,0.27,0.66,0.34,0.36,Sí,44.328,Sí
Femenino,16,2,Durango,Postpago,tienda,462,7,61,18,1.03,2.38,1.61,0.4,2.19,0.31,2.22,1.22,1.02,No,104.864,No
Masculino,27,20,Sonora,Prepago,tienda,224,9,9,50,2.36,7.41,3.03,2.59,6.58,3.95,4.38,0.71,3.66,Sí,73.651,Sí
Femenino,37,52,Veracruz,Prepago,app,540,2,35,38,1.56,2.59,1.02,0.92,2.91,0.41,2.21,0.58,0.8,No,132.85,No
Masculino,66,35,CDMX,Postpago,app,494,11,47,3,4.55,7.73,6.81,3.99,7.84,3.44,5.2,3.7,4.83,Sí,121.727,Sí
Masculino,42,4,Durango,Prepago,tienda,64,0,57,0,1.7,3.97,1.73,0.23,3.29,0.26,3.15,1.52,1.16,Sí,21.353,Sí
Masculino,23,69,CDMX,Prepago,tienda,742,3,17,31,1.07,3.45,1.05,0.76,5.25,0.8,2.64,0.27,2.47,No,174.228,No
Masculino,68,44,Michoacán,Postpago,app,763,13,59,18,2.81,3.37,2.79,0.47,4.72,1.35,3.64,1.8,2.04,Sí,174.447,Sí
Femenino,31,30,Hidalgo,Postpago,app,777,3,36,38,1.18,3.03,1.48,0.12,1.87,0.74,2.18,1.13,1.27,Sí,177,Sí
Femenino,30,25,Michoacán,Prepago,app,450,13,20,11,0.24,0.39,0.26,0.06,0.33,0.07,0.27,0.17,0.21,Sí,98.65,Sí
Masculino,55,50,Querétaro,Postpago,tienda,450,5,63,3,6.41,12.26,2.54,4.73,8.77,3.04,8.6,0.51,7.14,Sí,117.75,Sí
Femenino,64,8,Oaxaca,Prepago,app,755,9,50,10,3.8,5.89,2.91,0.66,5.72,3.43,4.83,3.06,3.7,Sí,167.9,Sí
Femenino,35,46,Tamaulipas,Prepago,app,93,0,4,44,1.86,3.06,0.87,0.18,2.29,0.96,2.63,0.87,1.39,Sí,43.133,Sí
Masculino,33,35,Querétaro,Postpago,tienda,157,7,19,13,6.19,6.77,3.67,1.15,9.91,1.03,7.23,3.3,3.87,No,54.436,No
Masculino,62,25,Sonora,Postpago,tienda,280,6,67,2,1.18,3.35,0.78,1.04,4.39,1.5,3.23,1.02,2.52,Sí,69.403,Sí
Masculino,40,34,Jalisco,Postpago,tienda,610,1,53,30,4.15,4.83,2.9,2.57,5.68,1.33,3.66,1.52,3.37,Sí,147.753,Sí
Femenino,49,17,Tlaxcala,Postpago,tienda,734,7,51,17,3.45,9.29,3.76,0.9,8.18,3.83,5.02,3.36,4.21,Sí,169.6,Sí
Masculino,59,71,Baja California Sur,Prepago,tienda,401,4,32,43,0.79,2.19,0.43,0.1,1.55,1.03,1.48,0.2,1.12,No,108.017,No
Masculino,65,58,Yucatán,Prepago,tienda,935,14,32,39,2.02,4.74,2.3,2.01,4.84,0.43,2.74,1.29,2.64,Sí,215.903,Sí
Masculino,50,58,Colima,Prepago,tienda,218,12,38,48,4.79,9.19,5.67,2.34,9.46,2.01,8.15,0.61,6.78,No,83.3,No
Masculino,37,38,Querétaro,Prepago,tienda,246,11,13,2,2.66,10.54,5.8,3.76,7.87,1.59,5.96,1.86,3.95,No,69.347,No
Masculino,17,29,Baja California,Postpago,app,889,1,18,48,5.86,10.36,4.6,4.14,8.88,1.29,8.17,4.45,6.25,Sí,213.65,Sí
Femenino,59,63,Durango,Prepago,app,41,0,39,49,3.87,10.16,3.73,0.5,10.52,0.79,7.47,2,3.61,No,47.095,No
Femenino,48,36,México,Prepago,app,75,14,22,41,3.74,11.41,4.97,3.88,9.2,2.55,5.28,2.59,5.86,No,48.644,No
Femenino,25,63,Morelos,Postpago,tienda,528,12,55,47,3.95,7.69,4.05,1.43,5.67,1.16,3.88,0.44,1.87,Sí,140.942,Sí
Femenino,65,60,Durango,Postpago,app,24,7,58,16,2.87,5.12,2.59,0.31,4.62,1.55,3.05,0.95,2.94,Sí,28.7,Sí
Masculino,47,28,Querétaro,Prepago,app,617,3,14,45,3.5,7.16,3.87,0.35,6.56,2.71,6.69,1.08,2.98,Sí,152.27,Sí
Femenino,25,16,Durango,Postpago,app,371,1,43,23,3.03,11.89,4.55,0.49,7.66,0.97,7.13,2.66,5.12,No,98.7,No
Masculino,22,61,Hidalgo,Prepago,app,907,6,7,54,0.31,0.5,0.42,0.18,0.51,0.32,0.39,0.06,0.32,No,208.003,No
Masculino,53,65,Tabasco,Prepago,tienda,146,12,25,18,0.35,1.48,0.27,0.06,1.18,0.19,0.65,0.21,0.78,No,47.151,No
Masculino,38,46,Zacatecas,Postpago,app,993,1,32,16,0.55,0.78,0.34,0.13,0.72,0.16,0.59,0.04,0.41,No,213.016,No
Femenino,33,18,Nuevo León,Postpago,tienda,242,3,47,27,3.26,4.29,1.55,0.42,3.74,1.6,2.41,1.19,2.2,No,67.748,No
Femenino,36,60,Chiapas,Postpago,tienda,507,4,35,14,2.06,3.65,2.01,1.07,3.72,0.97,3.49,0.23,3.42,Sí,122.536,Sí
Femenino,52,32,Oaxaca,Postpago,app,231,2,41,51,2.89,4.18,1.02,0.46,3.49,1.89,3.51,1.26,1.31,No,74.353,No
Femenino,49,69,Hidalgo,Prepago,tienda,381,0,40,1,6.22,9.02,2.21,3.55,7.4,3.41,6.84,2.64,2.71,No,102.05,No
Masculino,15,22,San Luis Potosi,Postpago,tienda,379,10,38,20,2.93,7.21,4.19,3.21,6.8,2.4,5.03,0.66,5.54,Sí,98.391,Sí
Masculino,44,19,Guerrero,Prepago,tienda,182,3,13,10,1.15,2.31,1.06,0.75,2,0.62,1.21,0.56,1.33,No,46.197,No
Masculino,34,48,Sinaloa,Postpago,app,300,12,11,14,3.38,7.6,1.38,0.34,7.52,1.67,4.32,0.61,2.79,Sí,80.833,Sí
Masculino,23,15,CDMX,Postpago,app,998,7,48,5,3.41,5.35,1.79,1.55,4.75,0.76,3.34,2.07,1.97,No,213.247,No
Femenino,63,4,Tlaxcala,Postpago,tienda,773,6,57,29,2.5,4.69,2.41,0.92,4.47,0.64,2.42,0.62,2.55,No,173.116,No
Masculino,32,4,San Luis Potosi,Prepago,tienda,706,8,70,2,3.12,6.24,1.88,1.59,4.96,2.59,5.36,1.35,1.91,No,154.6,No
Masculino,62,47,Veracruz,Prepago,app,141,0,56,9,4.87,10.57,4.93,3.15,9.69,3.7,7.44,3.18,5.45,Sí,56.644,Sí
Masculino,57,12,Veracruz,Postpago,app,370,14,18,16,3.64,9.4,2.07,2.81,6.48,1.48,4.94,0.81,4.9,No,92.459,No
Femenino,50,48,Nayarit,Prepago,app,158,4,12,39,1.93,5.24,2.95,1.43,3.98,2.68,4.52,0.63,3.64,Sí,59.2,Sí
Femenino,34,45,Veracruz,Postpago,tienda,822,6,3,28,1.69,2.78,1.26,0.19,4.34,0.43,3.52,0.44,1.91,No,184.668,No
Femenino,58,71,Tabasco,Postpago,tienda,713,10,24,45,4.92,11.63,2.14,3.02,11.51,3.34,10.13,0.52,4.64,Sí,183.505,Sí
Femenino,37,60,Aguascalientes,Postpago,tienda,522,4,65,7,2.53,4.74,2.27,1.88,4.93,2.11,3.8,0.2,1.53,Sí,125.947,Sí
Femenino,16,38,"Campeche, Coahuila",Prepago,app,96,1,57,9,2.17,7.14,2.88,1.56,5.37,1.35,5.85,1.08,2.29,No,39.357,No
Masculino,63,45,Oaxaca,Postpago,tienda,567,3,65,53,0,0,0,0,0,0,0,0,0,Sí,139.3,Sí
Femenino,61,60,Guerrero,Prepago,tienda,332,6,35,12,0.12,0.3,0.24,0.04,0.4,0.07,0.22,0.18,0.16,No,81.269,No
Femenino,66,39,Guanajuato,Prepago,app,177,9,60,25,2.65,9.47,4.2,2.56,10.86,2.74,9.92,1.84,4.17,No,66.273,No
Masculino,68,70,Hidalgo,Postpago,tienda,648,0,60,40,3.51,7.58,6.36,3.23,10.96,4.33,8.61,0.56,6.87,Sí,170.703,Sí
Femenino,35,30,Jalisco,Prepago,tienda,315,6,43,44,2.7,9.21,3.96,1.73,11.07,2,4.94,4.77,6.01,Sí,96.767,Sí
Masculino,21,37,Sonora,Prepago,tienda,896,5,29,29,1.84,6.61,4.01,2.48,6.33,1.49,4.1,0.48,3.66,No,204.2,No
Femenino,40,7,Baja California Sur,Postpago,tienda,406,7,44,10,2.68,10.89,3.29,2.61,10.63,1.46,5.44,3.01,4.49,No,100.8,No
Femenino,24,22,Morelos,Prepago,app,967,13,44,32,0.25,0.58,0.12,0.2,0.48,0.32,0.52,0.21,0.18,No,209.358,No
Masculino,51,12,Zacatecas,Postpago,tienda,333,12,12,31,3.04,8.67,4.57,1.26,7.33,1.69,6.49,2.98,2.26,Sí,89.787,Sí
Masculino,60,24,Oaxaca,Prepago,app,81,6,38,35,0.75,1.66,0.58,0.54,1.68,0.12,0.87,0.69,0.84,No,34.519,No
Femenino,36,49,Sonora,Postpago,app,308,11,61,28,4.81,6.43,1.5,2.42,8.12,0.62,4.29,1.63,4.64,Sí,90.738,Sí
Masculino,24,54,Michoacán,Prepago,app,901,7,58,7,1.59,3.11,0.83,0.15,2.64,0.99,2.15,0.87,1.99,No,197.596,No
Femenino,17,71,Durango,Prepago,app,698,3,16,35,3.37,6.64,3.16,2.75,6.7,1.64,4.41,0.28,4.06,Sí,171.453,Sí
Masculino,52,3,Chiapas,Postpago,app,164,2,37,47,1.25,3.47,2.36,1.47,3.05,0.38,3.73,0.56,2.73,No,54.9,No
Femenino,32,32,Hidalgo,Postpago,tienda,918,1,18,24,4.03,6.59,4.27,3.17,6.99,3.44,6.13,1.23,4.16,Sí,208.503,Sí
